frame_idx,track_id,class_name,x1,y1,x2,y2,cx,cy,vx,vy,confidence,age_frames
124,3,person,642.15,413.91,846.24,542.15,744.2,478.03,-0.4444,-1.3831,0.0,29
124,4,car,331.05,235.64,385.57,332.99,358.31,284.32,0.9156,3.4329,0.0,6
124,5,car,682.92,365.83,761.55,484.68,722.23,425.26,-1.4525,-4.822,0.5335,5
125,1,car,581.56,96.35,641.61,179.31,611.58,137.83,-1.4708,-3.7497,0.0,81
125,2,car,639.76,83.96,709.22,178.13,674.49,131.04,-1.5726,-3.6306,0.0,73
125,3,person,639.39,411.07,848.12,542.23,743.75,476.65,-0.4444,-1.3831,0.0,30
125,4,car,331.85,238.87,386.6,336.63,359.23,287.75,0.9156,3.4329,0.0,7
125,5,car,681.67,361.87,759.1,478.67,720.39,420.27,-1.848,-4.985,0.5559,6
126,1,car,580.22,92.78,640.01,175.38,610.11,134.08,-1.4708,-3.7497,0.0,82
126,2,car,638.4,80.62,707.44,174.21,672.92,127.41,-1.5726,-3.6306,0.0,74
126,3,person,636.62,408.23,850.0,542.3,743.31,475.26,-0.4444,-1.3831,0.0,31
126,4,car,332.66,242.1,387.63,340.26,360.14,291.18,0.9156,3.4329,0.0,8
126,5,car,679.47,357.02,756.99,473.72,718.23,415.37,-2.1566,-4.8993,0.4029,7
127,1,car,578.88,89.21,638.4,171.45,608.64,130.33,-1.4708,-3.7497,0.0,83
127,2,car,637.04,77.27,705.65,170.29,671.35,123.78,-1.5726,-3.6306,0.0,75
127,4,car,333.46,245.34,388.65,343.89,361.06,294.61,0.9156,3.4329,0.0,9
127,5,car,677.61,351.73,754.8,467.9,716.21,409.82,-2.0249,-5.5557,0.5373,8
128,1,car,577.75,86.06,636.64,167.57,607.2,126.81,-1.4451,-3.5208,0.5062,84
128,2,car,635.68,73.93,703.87,166.37,669.77,120.15,-1.5726,-3.6306,0.0,76
128,4,car,334.26,248.57,389.68,347.52,361.97,298.05,0.9156,3.4329,0.0,10
128,5,car,676.3,347.38,753.1,462.9,714.7,405.14,-1.509,-4.6713,0.463,9
129,1,car,576.31,81.69,635.5,163.89,605.91,122.79,-1.291,-4.0216,0.5602,85
129,2,car,634.32,70.59,702.08,162.46,668.2,116.52,-1.5726,-3.6306,0.0,77
129,4,car,335.07,251.8,390.71,351.16,362.89,301.48,0.9156,3.4329,0.0,11
129,5,car,674.79,342.1,751.86,458.14,713.33,400.12,-1.3692,-5.0248,0.4566,10
130,1,car,575.14,78.29,634.08,160.13,604.61,119.21,-1.2986,-3.5775,0.6529,86
130,2,car,631.16,64.16,701.61,160.28,666.38,112.22,-1.8185,-4.3002,0.4817,78
130,4,car,335.87,255.03,391.74,354.79,363.8,304.91,0.9156,3.4329,0.0,12
130,5,car,673.29,337.58,749.88,452.91,711.59,395.25,-1.7407,-4.8735,0.0,11
131,1,car,573.58,74.51,632.66,156.41,603.12,115.46,-1.4872,-3.7532,0.536,87
131,2,car,630.47,62.87,699.38,156.77,664.92,109.82,-1.4588,-2.4041,0.4741,79
131,4,car,336.67,258.27,392.76,358.42,364.72,308.35,0.9156,3.4329,0.0,13
131,5,car,671.79,333.07,747.9,447.67,709.85,390.37,-1.7407,-4.8735,0.0,12
132,1,car,571.72,70.43,631.01,152.62,601.37,111.52,-1.7521,-3.9344,0.6396,88
132,2,car,629.57,61.0,697.63,153.26,663.6,107.13,-1.3209,-2.6869,0.4505,80
132,4,car,337.48,261.5,393.79,362.06,365.63,311.78,0.9156,3.4329,0.0,14
132,5,car,670.28,328.56,745.92,442.44,708.1,385.5,-1.7407,-4.8735,0.0,13
